t	x1	x2	dx1	dx2
0.0000	0.0000	0.0000	0.0000	0.0000
0.0100	0.0005	0.0000	0.1005	0.0000
0.0200	0.0020	0.0000	0.1997	0.0000
0.0300	0.0045	0.0000	0.2977	0.0001
0.0400	0.0080	0.0000	0.3942	0.0002
0.0500	0.0124	0.0000	0.4891	0.0003
0.0600	0.0177	0.0000	0.5824	0.0006
0.0700	0.0240	0.0000	0.6739	0.0009
0.0800	0.0312	0.0000	0.7636	0.0013
0.0900	0.0393	0.0000	0.8515	0.0019
0.1000	0.0482	0.0001	0.9375	0.0025
0.1100	0.0580	0.0001	1.0217	0.0033
0.1200	0.0687	0.0001	1.1040	0.0043
0.1300	0.0801	0.0002	1.1843	0.0054
0.1400	0.0923	0.0002	1.2626	0.0067
0.1500	0.1053	0.0003	1.3388	0.0081
0.1600	0.1191	0.0004	1.4128	0.0098
0.1700	0.1336	0.0005	1.4847	0.0117
0.1800	0.1488	0.0006	1.5539	0.0137
0.1900	0.1647	0.0008	1.6202	0.0160
0.2000	0.1812	0.0010	1.6832	0.0186
0.2100	0.1983	0.0012	1.7426	0.0213
0.2200	0.2160	0.0014	1.7981	0.0243
0.2300	0.2343	0.0016	1.8497	0.0276
0.2400	0.2530	0.0019	1.8973	0.0311
0.2500	0.2722	0.0023	1.9409	0.0349
0.2600	0.2918	0.0026	1.9805	0.0390
0.2700	0.3118	0.0031	2.0162	0.0433
0.2800	0.3321	0.0035	2.0483	0.0479
0.2900	0.3527	0.0040	2.0771	0.0528
0.3000	0.3737	0.0046	2.1029	0.0579
0.3100	0.3948	0.0052	2.1261	0.0634
0.3200	0.4162	0.0058	2.1471	0.0691
0.3300	0.4377	0.0065	2.1661	0.0751
0.3400	0.4595	0.0073	2.1832	0.0814
0.3500	0.4814	0.0082	2.1985	0.0879
0.3600	0.5035	0.0091	2.2123	0.0948
0.3700	0.5257	0.0101	2.2244	0.1019
0.3800	0.5480	0.0111	2.2351	0.1093
0.3900	0.5704	0.0123	2.2441	0.1170
0.4000	0.5929	0.0135	2.2516	0.1250
0.4100	0.6154	0.0148	2.2573	0.1332
0.4200	0.6380	0.0161	2.2613	0.1417
0.4300	0.6606	0.0176	2.2632	0.1505
